iter	RMSE
0	2.306595572
1	2.279619316
2	2.254118661
3	2.231930364
4	2.208601848
5	2.188567193
6	2.166910442
7	2.149152542
8	2.132858984
9	2.117615744
10	2.102355434
11	2.089615193
12	2.075970814
13	2.064132176
14	2.050212416
15	2.036070399
16	2.023013055
17	2.012325992
18	1.999571271
19	1.987835486
20	1.978154378
21	1.966178847
22	1.956273851
23	1.949031904
24	1.940591386
25	1.932421121
26	1.923204768
27	1.917131679
28	1.910805505
29	1.903884189
30	1.897164881
31	1.890954118
32	1.884949933
33	1.878508888
34	1.871374426
35	1.865256963
36	1.86031227
37	1.852966466
38	1.847805203
39	1.842550676
40	1.838467735
41	1.833846068
42	1.828156035
43	1.823820451
44	1.818849118
45	1.815049284
46	1.808513871
47	1.803160214
48	1.798698897
49	1.794272485
50	1.790388551
51	1.785082764
52	1.780792051
53	1.777265195
54	1.773335662
55	1.768594327
56	1.763932575
57	1.760155551
58	1.757261673
59	1.754075274
60	1.750572316
61	1.746501016
62	1.743358009
63	1.740597555
64	1.737878298
65	1.735244865
66	1.73159515
67	1.728020877
68	1.725992737
69	1.723313802
70	1.720648637
71	1.71859731
72	1.715122068
73	1.712721052
74	1.709550601
75	1.705340791
76	1.702945566
77	1.699876013
78	1.69692182
79	1.694504961
80	1.691512647
81	1.688613022
82	1.686359241
83	1.683280913
84	1.680062071
85	1.677895726
86	1.67389843
87	1.671884737
88	1.668517229
89	1.665287462
90	1.663065455
91	1.661427379
92	1.65911155
93	1.656099278
94	1.652617549
95	1.650058414
96	1.647385688
97	1.644565084
98	1.642599014
99	1.639662238
100	1.637791603
101	1.635518644
102	1.632894288
103	1.63005198
104	1.628120741
105	1.624792872
106	1.621935626
107	1.619598048
108	1.61757384
109	1.615650897
110	1.612789921
111	1.60967493
112	1.607881143
113	1.605726825
114	1.603224019
115	1.600128091
116	1.596903926
117	1.59475373
118	1.593247081
119	1.590353977
120	1.587880689
121	1.586908111
122	1.58368898
123	1.581245088
124	1.577919209
125	1.575148829
126	1.57374772
127	1.571922304
128	1.569585791
129	1.567713458
130	1.565540067
131	1.563110702
132	1.561032434
133	1.558783837
134	1.557238403
135	1.555109381
136	1.553172047
137	1.551925894
138	1.549618901
139	1.547531561
140	1.544862687
141	1.543128172
142	1.541672324
143	1.539746652
144	1.537358333
145	1.535322887
146	1.533053843
147	1.530769329
148	1.528368515
149	1.526557628
150	1.525159872
151	1.523858905
152	1.522344326
153	1.520863288
154	1.518374947
155	1.517076508
156	1.515148198
157	1.512975266
158	1.5107914
159	1.508782672
160	1.507150831
161	1.50533433
162	1.503792096
163	1.501279586
164	1.499010887
165	1.496976985
166	1.4949378
167	1.49228078
168	1.489680115
169	1.488094572
170	1.486073842
171	1.484239657
172	1.4827613
173	1.481065135
174	1.480079962
175	1.478270098
176	1.476827022
177	1.474448323
178	1.472646392
179	1.470661051
180	1.468126493
181	1.466467212
182	1.464799886
183	1.462749475
184	1.459849352
185	1.45814605
186	1.456201277
187	1.454682728
188	1.452771515
189	1.45091222
190	1.448915036
191	1.446632904
192	1.443638366
193	1.441503127
194	1.439368678
195	1.437267366
196	1.435582719
197	1.433703612
198	1.431858552
199	1.430596555
200	1.4292391
201	1.428066666
202	1.426776605
203	1.424643452
204	1.422380836
205	1.419718862
206	1.417784271
207	1.415862361
208	1.413839062
209	1.411975674
210	1.41017614
211	1.408003843
212	1.405957045
213	1.402879103
214	1.401174716
215	1.399328527
216	1.397774736
217	1.395513793
218	1.393119253
219	1.391359618
220	1.388881933
221	1.386918525
222	1.385431162
223	1.383257219
224	1.381359973
225	1.38052093
226	1.378051331
227	1.375959508
228	1.373900187
229	1.372049359
230	1.370844973
231	1.368770135
232	1.366693268
