iter	Passed	Remaining
0	4	4555
1	8	4010
2	12	4094
3	15	3977
4	19	3891
5	24	4001
6	28	3974
7	31	3962
8	36	4021
9	44	4394
10	54	4924
11	63	5187
12	71	5406
13	78	5541
14	82	5437
15	87	5372
16	91	5309
17	95	5204
18	98	5104
19	103	5053
20	106	4984
21	110	4921
22	116	4952
23	123	5026
24	127	4982
25	132	4957
26	136	4902
27	139	4850
28	143	4818
29	147	4769
30	150	4712
31	153	4657
32	157	4627
33	161	4576
34	164	4545
35	169	4527
36	172	4485
37	175	4442
38	178	4404
39	183	4405
40	187	4390
41	191	4363
42	195	4343
43	199	4328
44	203	4322
45	207	4306
46	211	4289
47	215	4276
48	220	4271
49	224	4271
50	228	4253
51	232	4235
52	236	4224
53	241	4224
54	245	4219
55	250	4215
56	253	4198
57	257	4179
58	261	4163
59	264	4138
60	267	4112
61	270	4097
62	274	4081
63	277	4060
64	280	4038
65	284	4023
66	288	4011
67	291	3993
68	294	3973
69	298	3963
70	302	3951
71	305	3935
72	308	3917
73	312	3907
74	316	3898
75	319	3881
76	322	3869
77	326	3861
78	330	3853
79	333	3840
80	337	3833
81	341	3823
82	345	3812
83	348	3796
84	351	3783
85	354	3768
86	357	3755
87	362	3753
88	366	3749
89	369	3735
90	372	3725
91	376	3719
92	380	3708
93	383	3695
94	386	3682
95	390	3676
96	393	3663
97	396	3650
98	399	3637
99	403	3635
100	406	3622
101	410	3610
102	413	3600
103	416	3592
104	420	3580
105	423	3568
106	426	3559
107	430	3551
108	433	3546
109	437	3535
110	440	3527
111	444	3520
112	447	3512
113	451	3505
114	456	3513
115	459	3505
116	463	3500
117	468	3503
118	472	3497
119	475	3489
120	479	3484
121	495	3567
122	498	3556
123	501	3546
124	505	3536
125	508	3529
126	511	3519
127	515	3512
128	519	3506
129	523	3502
130	527	3497
131	530	3487
132	534	3481
133	538	3477
134	541	3472
135	546	3472
136	550	3465
137	553	3458
138	557	3452
139	560	3443
140	563	3434
141	566	3425
142	570	3418
143	573	3410
144	577	3402
145	580	3394
146	584	3389
147	587	3383
148	590	3374
149	593	3365
150	598	3367
151	612	3418
152	615	3409
153	619	3400
154	622	3393
155	626	3386
156	629	3381
157	632	3372
158	636	3365
159	639	3358
160	643	3351
161	646	3343
162	650	3339
163	653	3332
164	657	3324
165	660	3316
166	663	3311
167	667	3303
168	670	3296
169	673	3288
170	677	3283
171	680	3275
172	683	3266
173	686	3260
174	690	3254
175	694	3251
176	698	3245
177	702	3245
178	706	3241
179	710	3235
180	714	3233
181	719	3232
182	724	3233
183	729	3234
184	733	3231
185	737	3225
186	741	3222
187	745	3219
188	748	3212
189	752	3206
190	755	3201
191	759	3198
192	763	3191
193	767	3187
194	771	3184
195	775	3179
196	778	3174
197	782	3171
198	786	3165
199	789	3159
200	793	3155
201	797	3149
202	801	3145
203	804	3140
204	820	3182
205	823	3175
206	827	3170
207	831	3165
208	835	3161
209	838	3155
210	842	3149
211	846	3145
212	849	3140
213	853	3135
214	856	3128
215	860	3124
216	865	3122
217	869	3120
218	873	3116
219	878	3115
220	881	3108
221	885	3104
222	889	3098
223	894	3097
224	898	3096
225	902	3091
